Type,Region,Residence Type,Service Type,Year,Coverage,Population,Service level
sdg,Latin America and the Caribbean,rural,Drinking water,2024,3.27594,3901807.37193,Unimproved
sdg,Latin America and the Caribbean,urban,Drinking water,2024,0.32507,1769530.25133,Unimproved
sdg,Northern Africa and Western Asia,total,Hygiene,2024,89.24116,518921438.16659,Basic service
sdg,Northern Africa and Western Asia,rural,Hygiene,2024,85.56707,181491278.21652,Basic service
sdg,Northern Africa and Western Asia,urban,Hygiene,2024,91.3509,337430161.86389,Basic service
sdg,Northern Africa and Western Asia,total,Hygiene,2024,7.98411,46426190.6108,Limited service
sdg,Northern Africa and Western Asia,rural,Hygiene,2024,11.58366,24569425.75726,Limited service
sdg,Northern Africa and Western Asia,total,Hygiene,2024,2.77472,16134529.22261,No handwashing facility
sdg,Northern Africa and Western Asia,rural,Hygiene,2024,2.84927,6043421.17522,No handwashing facility
sdg,Northern Africa and Western Asia,total,Sanitation,2024,30.24913,175893306.43914,Basic service
sdg,Northern Africa and Western Asia,rural,Sanitation,2024,36.77241,77995793.29142,Basic service
sdg,Northern Africa and Western Asia,urban,Sanitation,2024,26.48895,97844365.73335,Basic service
sdg,Northern Africa and Western Asia,total,Sanitation,2024,2.37901,13833546.8096,Limited service
sdg,Northern Africa and Western Asia,rural,Sanitation,2024,2.47841,5256803.94741,Limited service
sdg,Northern Africa and Western Asia,urban,Sanitation,2024,2.28342,8434450.42621,Limited service
sdg,Northern Africa and Western Asia,total,Sanitation,2024,1.85043,10759930.7911,Open defecation
sdg,Northern Africa and Western Asia,rural,Sanitation,2024,4.80313,10187646.67641,Open defecation
sdg,Northern Africa and Western Asia,urban,Sanitation,2024,0.20722,765419.59033,Open defecation
sdg,Northern Africa and Western Asia,total,Sanitation,2024,60.71669,353056718.04896,Safely managed service
sdg,Northern Africa and Western Asia,rural,Sanitation,2024,45.01108,95470361.90616,Safely managed service
sdg,Northern Africa and Western Asia,urban,Sanitation,2024,69.73516,257586356.98156,Safely managed service
sdg,Northern Africa and Western Asia,total,Sanitation,2024,4.80473,27938650.79588,Unimproved
sdg,Northern Africa and Western Asia,rural,Sanitation,2024,10.93497,23193523.04003,Unimproved
sdg,Northern Africa and Western Asia,urban,Sanitation,2024,1.28525,4747440.5365,Unimproved
sdg,Northern Africa and Western Asia,rural,Drinking water,2024,85.1641,180636565.29577,At least basic
sdg,Northern Africa and Western Asia,total,Drinking water,2024,15.96001,92804602.54763,Basic service
sdg,Northern Africa and Western Asia,urban,Drinking water,2024,16.18176,59771884.14029,Basic service
sdg,Northern Africa and Western Asia,total,Drinking water,2024,5.46513,31778777.41299,Limited service
sdg,Northern Africa and Western Asia,rural,Drinking water,2024,9.43325,20008314.83519,Limited service
sdg,Northern Africa and Western Asia,urban,Drinking water,2024,3.18706,11772314.50935,Limited service
sdg,Northern Africa and Western Asia,total,Drinking water,2024,0.78234,4549172.1124,Surface water
sdg,Northern Africa and Western Asia,rural,Drinking water,2024,1.89433,4017948.67621,Surface water
sdg,Northern Africa and Western Asia,urban,Drinking water,2024,0.15863,585930.32736,Surface water
sdg,Northern Africa and Western Asia,total,Drinking water,2024,76.20273,443105303.50504,Safely managed service
sdg,Northern Africa and Western Asia,urban,Drinking water,2024,79.94521,295300057.18058,Safely managed service
sdg,Northern Africa and Western Asia,total,Drinking water,2024,1.58978,9244302.84038,Unimproved
sdg,Northern Africa and Western Asia,rural,Drinking water,2024,3.50832,7441296.34183,Unimproved
sdg,Northern Africa and Western Asia,urban,Drinking water,2024,0.52733,1947846.00637,Unimproved
sdg,Oceania,total,Hygiene,2024,43.25062,6124965.39952,Basic service
sdg,Oceania,rural,Hygiene,2024,34.78497,3815288.9762,Basic service
sdg,Oceania,urban,Hygiene,2024,72.32757,2309676.52059,Basic service
sdg,Oceania,total,Hygiene,2024,23.12146,3274360.76516,Limited service
sdg,Oceania,rural,Hygiene,2024,24.76382,2716148.30822,Limited service
sdg,Oceania,urban,Hygiene,2024,17.48044,558212.55048,Limited service
sdg,Oceania,total,Hygiene,2024,33.62792,4762239.83532,No handwashing facility
sdg,Oceania,rural,Hygiene,2024,40.4512,4436773.23665,No handwashing facility
sdg,Oceania,urban,Hygiene,2024,10.192,325466.76457,No handwashing facility
sdg,Oceania,total,Sanitation,2024,14.94301,2116164.13524,Basic service
sdg,Oceania,rural,Sanitation,2024,8.33911,914650.86765,Basic service
sdg,Oceania,urban,Sanitation,2024,30.68396,979847.9042,Basic service
sdg,Oceania,total,Sanitation,2024,6.37117,902257.35338,Limited service
sdg,Oceania,rural,Sanitation,2024,5.5003,603284.5223,Limited service
sdg,Oceania,urban,Sanitation,2024,10.72467,342476.97591,Limited service
sdg,Oceania,total,Sanitation,2024,15.12709,2142233.21599,Open defecation
sdg,Oceania,rural,Sanitation,2024,18.54145,2033665.22203,Open defecation
sdg,Oceania,urban,Sanitation,2024,4.76317,152104.96654,Open defecation
sdg,Oceania,total,Sanitation,2024,21.32411,3019828.57579,Safely managed service
sdg,Oceania,rural,Sanitation,2024,17.51405,1920977.88079,Safely managed service
sdg,Oceania,urban,Sanitation,2024,34.41053,1098850.74541,Safely managed service
sdg,Oceania,total,Sanitation,2024,42.23461,5981082.72696,Unimproved
sdg,Oceania,rural,Sanitation,2024,50.10509,5495631.99068,Unimproved
sdg,Oceania,urban,Sanitation,2024,19.41767,620075.21656,Unimproved
sdg,Oceania,total,Drinking water,2024,62.55521,8858797.64502,At least basic
sdg,Oceania,rural,Drinking water,2024,53.5926,5878149.07901,At least basic
sdg,Oceania,urban,Drinking water,2024,90.10106,2877247.52274,At least basic
sdg,Oceania,total,Drinking water,2024,5.99944,849614.50796,Limited service
sdg,Oceania,rural,Drinking water,2024,6.9423,761446.60278,Limited service
sdg,Oceania,urban,Drinking water,2024,3.65093,116587.05311,Limited service
sdg,Oceania,total,Drinking water,2024,7.12108,1008456.59348,Surface water
sdg,Oceania,rural,Drinking water,2024,8.71668,956063.5226,Surface water
sdg,Oceania,urban,Drinking water,2024,2.04483,65298.80977,Surface water
sdg,Oceania,total,Drinking water,2024,24.32427,3444697.25354,Unimproved
sdg,Oceania,rural,Drinking water,2024,30.74842,3372551.31668,Unimproved
sdg,Oceania,urban,Drinking water,2024,4.20318,134222.45,Unimproved
sdg,Sub-Saharan Africa,total,Hygiene,2024,26.75781,332602147.35054,Basic service
sdg,Sub-Saharan Africa,rural,Hygiene,2024,18.94925,132192253.10247,Basic service
sdg,Sub-Saharan Africa,urban,Hygiene,2024,36.74566,200409893.40086,Basic service
sdg,Sub-Saharan Africa,total,Hygiene,2024,40.66501,505469908.92202,Limited service
sdg,Sub-Saharan Africa,rural,Hygiene,2024,44.76188,312264271.57304,Limited service
sdg,Sub-Saharan Africa,urban,Hygiene,2024,35.42474,193205635.06901,Limited service
sdg,Sub-Saharan Africa,total,Hygiene,2024,32.57718,404937453.72744,No handwashing facility
sdg,Sub-Saharan Africa,rural,Hygiene,2024,36.28887,253155559.3191,No handwashing facility
sdg,Sub-Saharan Africa,urban,Hygiene,2024,27.82959,151781892.55513,No handwashing facility
sdg,Sub-Saharan Africa,total,Sanitation,2024,9.42624,117169094.79232,Basic service
sdg,Sub-Saharan Africa,rural,Sanitation,2024,4.19813,29286693.03232,Basic service
sdg,Sub-Saharan Africa,urban,Sanitation,2024,16.3813,89343187.58057,Basic service
sdg,Sub-Saharan Africa,total,Sanitation,2024,18.04352,224282718.04224,Limited service
sdg,Sub-Saharan Africa,rural,Sanitation,2024,9.88063,68928486.62149,Limited service
sdg,Sub-Saharan Africa,urban,Sanitation,2024,28.92577,157760425.10966,Limited service
sdg,Sub-Saharan Africa,total,Sanitation,2024,15.45993,192168390.26393,Open defecation
sdg,Sub-Saharan Africa,rural,Sanitation,2024,23.51989,164077595.0009,Open defecation
sdg,Sub-Saharan Africa,urban,Sanitation,2024,4.68834,25570062.76131,Open defecation
sdg,Sub-Saharan Africa,total,Sanitation,2024,25.98739,323025715.19706,Safely managed service
sdg,Sub-Saharan Africa,rural,Sanitation,2024,21.40963,149356173.38363,Safely managed service
sdg,Sub-Saharan Africa,urban,Sanitation,2024,31.84275,173669540.80373,Safely managed service
sdg,Sub-Saharan Africa,total,Sanitation,2024,31.08292,386363592.33957,Unimproved
sdg,Sub-Saharan Africa,rural,Sanitation,2024,40.99171,285963136.84889,Unimproved
sdg,Sub-Saharan Africa,urban,Sanitation,2024,18.16184,99054206.88488,Unimproved
sdg,Sub-Saharan Africa,total,Drinking water,2024,35.79999,444997252.84544,Basic service
sdg,Sub-Saharan Africa,rural,Drinking water,2024,36.74733,256353786.00386,Basic service
sdg,Sub-Saharan Africa,urban,Drinking water,2024,34.71208,189318799.51675,Basic service
sdg,Sub-Saharan Africa,total,Drinking water,2024,13.47199,167458121.60692,Limited service
sdg,Sub-Saharan Africa,rural,Drinking water,2024,17.20468,120021896.17458,Limited service
sdg,Sub-Saharan Africa,urban,Drinking water,2024,8.7172,47543377.62908,Limited service
sdg,Sub-Saharan Africa,total,Drinking water,2024,5.56457,69168187.97973,Surface water
sdg,Sub-Saharan Africa,rural,Drinking water,2024,9.25604,64571270.09286,Surface water
sdg,Sub-Saharan Africa,urban,Drinking water,2024,0.83005,4527072.73553,Surface water
sdg,Sub-Saharan Africa,total,Drinking water,2024,31.73842,394511627.35476,Safely managed service
sdg,Sub-Saharan Africa,rural,Drinking water,2024,16.20676,113060312.74927,Safely managed service
sdg,Sub-Saharan Africa,urban,Drinking water,2024,51.60481,281451313.99034,Safely managed service
sdg,Sub-Saharan Africa,total,Drinking water,2024,13.42502,166874313.24296,Unimproved
sdg,Sub-Saharan Africa,rural,Drinking water,2024,20.5852,143604830.96843,Unimproved
sdg,Sub-Saharan Africa,urban,Drinking water,2024,4.13586,22556847.58391,Unimproved
